date,symbol,open,close,low,high,volume
2016-01-06,WLTW,0.6047891816550536,-0.368984266320954,-0.11877216854305409,0.481536430409766,3.4562679330011363
2016-01-07,WLTW,-1.0205688589455066,-1.2955978691855343,-0.9974503209821393,-0.6377687435859599,3.6788739413039004
2016-05-06,WLTW,0.9937015443226545,-0.0779220171987821,0.10922735789589641,0.8327664929928736,5.25935500898211
2016-11-04,WLTW,-0.3124556587239491,-0.9584800314594174,-1.3780349661452582,-0.5412769681510399,5.928036684747058
2010-01-04,MJN,-2.3252038071598657,-2.2464253962726235,-2.283872927842409,-2.2481608086180183,3.1988001849014776
2010-01-04,ROST,-1.5689246194736304,-1.5711240142446574,-1.5682678340402005,-1.5745845414869675,4.342679474790098
2010-01-04,TMO,-1.1704410659211135,-1.1856799330099175,-1.1728545405156556,-1.1836143731843152,3.271972959919788
2010-01-05,AVY,-0.5459163501271973,-0.6418633845159926,-0.6674992655891527,-0.572170404594887,3.117552613663204
2010-01-05,AZO,-1.5838825520023587,-1.5958679592981047,-1.6102385562038473,-1.5914004026780628,4.013180604089399
2010-01-05,CB,-1.6860095354230544,-1.7073796952630464,-1.7062825976575648,-1.6877023720516209,3.5627574241590327
2010-01-05,F,-1.4703381587995843,-1.2383140732167237,-1.417235743480028,-1.1808743884646549,4.448976120095096
2010-01-05,GPS,-1.0237363878421615,-1.0046006340962115,-1.0069026226669429,-1.0062262519959637,3.000956724737238
2010-01-05,HSY,-2.0207375171633544,-1.9780773885236094,-2.0194490474203,-1.9541852174820036,3.154179046607865
2010-01-05,LB,-1.7139951449917885,-1.7425816439103865,-1.734054675941625,-1.7203830499796675,3.299241479576624
2010-01-05,MCHP,-1.303247455770277,-1.3612925422763598,-1.3322625903496936,-1.3282822089831194,3.85713688332582
2010-01-05,MDLZ,-1.3817817202998801,-1.3025116777967423,-1.4018978154389397,-1.3323134525943399,4.548432270981856
2010-01-05,MJN,-2.2422602721331732,-2.273829421881027,-2.265021645361385,-2.2639461146745643,3.169379037266135
2010-01-05,MSI,-1.6307496487750903,-1.6599581685666553,-1.6680071789610982,-1.5734969703927557,5.603442892664119
2010-01-05,SHW,-1.4129209743423756,-1.4322536343368837,-1.4315049939195972,-1.4186134008697444,3.7254650976320747
2010-01-05,SLG,-1.9722074729223322,-2.0075135488714495,-1.999106287948057,-2.01114025931789,3.020688979642499
2010-01-05,SPG,-1.8292263628641006,-1.8462202112902288,-1.8502807498293088,-1.851207031586377,3.1148522725112753
2010-01-05,SRE,-1.0625094793093146,-1.1131960568143184,-1.1090681149793875,-1.0801468590807524,3.174792022989199
2010-01-05,TXT,-1.3666353433050022,-1.4008417182998063,-1.3873762964851666,-1.3611076719585224,4.061545656573719
2010-01-05,UAL,-1.4652514858245165,-1.4014645621575046,-1.4452544898215567,-1.411632944366767,4.910761529025787
2010-01-06,AZO,-1.5951159203331664,-1.6033797942977683,-1.6000931946824655,-1.5906909542592147,3.316861361724163
2010-01-06,BIIB,-1.3917144531065244,-1.3906770115033478,-1.3910074883320527,-1.392244322144336,3.0709892883597587
2010-01-06,F,-1.1288713238781432,-1.0537654478230432,-1.0895126220482492,-1.0817728121478243,4.032901873144881
2010-01-06,FAST,-2.257149772112132,-2.1690305491193396,-2.2316930654778147,-2.1580284279924866,6.120533523075554
2010-01-06,MDLZ,-1.385526927705987,-1.264999464385046,-1.384864819791108,-1.2673265906852103,5.171949767992313
2010-01-06,MON,-0.4009420787220745,-0.2624558223900176,-0.4100763098657045,-0.2694992049709934,3.095007055656665
2010-01-06,MSI,-1.616324465343201,-1.6282343525380378,-1.6217960044669082,-1.6368567913968173,3.2476075930683157
2010-01-06,ROST,-1.5609261648187482,-1.5474592691789923,-1.554276842755503,-1.5548401038505482,3.3598052036753496
2010-01-06,TRV,-1.4330255139262746,-1.4475369083643235,-1.4549324331322477,-1.4460002068115096,4.714189234369313
2010-01-06,ZION,-2.2705472214345974,-2.0056453627842017,-2.2084471649870676,-2.0671664599626403,4.430419985530276
2010-01-07,AES,0.7969634305540904,0.8178024636748863,0.7407832798287243,0.8510266952160699,3.922148464646293
2010-01-07,BA,-1.343733587790874,-1.2596986309083658,-1.3379600967042984,-1.2760881511821283,3.7692616917513706
2010-01-07,BBBY,-1.3735559049739967,-1.4128910617658124,-1.3859463434367068,-1.330629840243524,7.1735119344741936
2010-01-07,FAST,-2.1877559747981414,-2.1214810734303553,-2.1906243438145094,-2.1337952862769765,3.004415723750145
2010-01-07,FITB,-1.7499807638606757,-1.5633673052536177,-1.7055758281725675,-1.5580658707277553,4.037204969945498
2010-01-07,FLR,-1.0503629053168682,-0.9309289630207418,-1.0230240743646355,-0.9823333265652386,3.3462469305361293
2010-01-07,GE,-1.5733415195006177,-1.4129479678795827,-1.5424463790400067,-1.402915141834093,4.463891131885694
2010-01-07,GOOG,-0.8978169307990674,-0.9409586131701567,-0.929540976784418,-0.9109178882008933,3.0087403163163238
2010-01-07,GOOGL,-0.8949385313248349,-0.9366441637501811,-0.92573070699883,-0.9076114389857999,3.023015963224124
2010-01-07,GPS,-0.9354842481793865,-1.0627521546361722,-1.0641784395671083,-0.9694960443972468,4.6396280746888205
2010-01-07,HBAN,-1.9970387261524338,-1.7885026784718583,-1.9640273857166415,-1.803768751140317,5.700488209346949
2010-01-07,HON,-1.5211113308748543,-1.4905679939002354,-1.5164575795921047,-1.5024466649399655,3.3214373384172404
2010-01-07,ILMN,-1.1923852496214804,-1.1853755404483675,-1.1895868960164233,-1.186385279985818,3.8715799925943473
